Date,EMA5,EMA21,EMA63,Position
2016-08-08,863.0672,863.0672,863.0672,Neutral
2016-08-09,864.537374,863.4681565454546,863.2050288124999,Long
2016-08-10,862.6390313333334,863.0476283140496,863.0686949746093,Neutral
2016-08-11,864.6852372222223,863.5685392854996,863.2470997879028,Long
2016-08-12,865.8481618148148,863.9872185322723,863.4010657632808,Long
2016-08-16,863.8998122098766,863.6250271202475,863.2948797394282,Long
2016-08-17,858.5772918065845,862.1984111093159,862.814797591321,Neutral
2016-08-18,853.0790138710563,860.369688099378,862.1669119790923,Long
2016-08-19,850.5741602473709,859.0237576357981,861.6480851359956,Long
2016-08-22,854.9087134982474,859.437763305271,861.7083893504957,Long
2016-08-23,855.2140243321651,859.1092980957009,861.5245223707927,Long
2016-08-24,854.70571188811,858.6165516324553,861.2796650154554,Long
2016-08-25,851.7050529254068,857.4426592113231,860.7929172024724,Long
2016-08-26,847.7547032836046,855.8436905557483,860.1385761648951,Long
2016-08-29,845.3377911890698,854.4491702324984,859.5249946284921,Long
2016-08-30,849.7928617927132,854.8358823022713,859.4993073901016,Long
2016-08-31,850.3642475284755,854.5332583657012,859.249548377911,Long
2016-09-01,853.4533013523171,854.9967266051829,859.2614815223513,Long
2016-09-02,853.9497229015449,854.9918029138025,859.126515412278,Long
2016-09-06,859.5732529343634,856.430758376184,859.4919465868943,Long
2016-09-07,861.8211742895757,857.3295091601673,859.7052300373039,Neutral
2016-09-08,869.0611621930504,859.712384509243,860.4501021611381,Neutral
2016-09-09,867.2024771287004,860.05535928113,860.5449460623526,Neutral
2016-09-12,862.4039464191336,859.3964070737545,860.303131654154,Neutral
2016-09-14,856.1098329460891,857.9532433397768,859.7787089774616,Neutral
2016-09-15,853.6315716307261,857.1097711270697,859.431719603166,Neutral
2016-09-16,851.2675037538174,856.1488253882452,859.0288336155671,Long
2016-09-19,849.768830502545,855.2963398074957,858.6457914400806,Long
2016-09-20,845.9686896683635,853.7574369159051,858.012123207578,Long
2016-09-21,846.576721778909,853.2151959235501,857.6927689198412,Long
2016-09-22,846.0845545192727,852.477470839591,857.2992517660962,Long
2016-09-23,845.8802223461819,851.8405696723554,856.9296363359057,Long
2016-09-26,840.1882958974546,849.7463763385049,856.0507240441586,Long
2016-09-27,837.8483902649698,848.2393038531864,855.3356570115287,Long
2016-09-28,833.1469331766466,846.0124597756239,854.3484183236685,Long
2016-09-29,827.273451784431,843.2410078869308,853.1352330323039,Long
2016-09-30,820.1234428562874,839.8394094426643,851.6567390312944,Long
2016-10-03,815.6353145708583,836.8230138569676,850.2505614990664,Long
2016-10-04,810.0588377139056,833.3760020517886,848.6460403272206,Long
2016-10-05,809.6065264759372,831.1329022288987,847.397786066995,Long
2016-10-06,813.4833509839582,830.2332747535443,846.5802615024014,Long
2016-10-07,813.8394256559723,828.8076656850402,845.5793650492014,Long
2016-10-10,813.7363137706483,827.4187951682184,844.5778252039139,Long
2016-10-13,809.3034978470989,824.965983425653,843.1984514787916,Long
2016-10-14,800.2199915647327,821.064801205139,841.2876554638294,Long
2016-10-17,796.3308853764886,818.1091531864901,839.6396872618348,Long
2016-10-18,795.7035615843257,815.9582223513546,838.2274755974024,Long
2016-10-19,792.3140727228838,813.1924835012314,836.5808387037335,Long
2016-10-20,788.2902128152559,810.1970298193013,834.820265400492,Long
2016-10-21,788.9812762101706,808.3939728357284,833.4309884504765,Long
2016-10-24,788.5598848067805,806.5142573052076,832.0024294988991,Long
2016-10-25,783.3267885378536,803.4548335501887,830.1542472020585,Long
2016-10-26,783.0879150252358,801.559863954717,828.6684947269941,Long
2016-10-27,782.139441016824,799.6219211406518,827.1551821730257,Long
2016-10-28,780.3309773445494,797.5393874005925,825.5788967926186,Long
2016-11-01,780.920012563033,796.1356324550841,824.2201213615992,Long
2016-11-02,783.1386103753554,795.3574664137128,823.0749865065493,Long
2016-11-03,784.0870765835703,794.505333921557,821.9158934594697,Long
2016-11-04,787.4036117223802,794.4627292014155,821.0446681013613,Long
2016-11-07,786.3841868149202,793.5429662740141,819.8978140044437,Long
2016-11-08,787.8738205432801,793.2984318854674,818.9901663168049,Long
2016-11-09,783.7793446955201,791.6886101686066,817.6339234006547,Long
2016-11-10,778.0065014636801,789.3951742441878,816.0347637631342,Long
2016-11-11,768.9143073091201,785.8801510401706,813.9939873642862,Long
2016-11-15,764.0077112060801,782.9996390365187,812.1252539779023,Long
2016-11-16,761.7666154707201,780.6618922150169,810.4114780410929,Long
2016-11-17,761.1777233138134,778.7835328318336,808.8361174460588,Long
2016-11-18,758.0384245425423,776.3268323016669,807.0524833696195,Long
2016-11-21,754.353802361695,773.6593528196971,805.1753607018189,Long
2016-11-22,758.8108602411301,773.1198640179065,804.0050361798872,Long
2016-11-23,765.4652561607534,773.6338807435513,803.2165677992657,Long
2016-11-24,767.9039207738356,773.5563688577739,802.2654641180386,Long
2016-11-25,772.1203141825571,774.1924354161581,801.5869527706,Long
2016-11-28,776.2577404550381,775.1324497419619,801.0540040277687,Long
2016-11-29,777.4085823033588,775.5486148563289,800.3870122144008,Long
2016-11-30,781.7028082022393,776.8888553239353,800.0715199577007,Long
2016-12-01,785.8453291348262,778.4562658399412,799.8858590527725,Neutral
2016-12-02,783.4101714232175,778.463864945401,799.2187964573733,Neutral
2016-12-05,785.9848122821451,779.6157039503645,798.9661495055803,Neutral
2016-12-06,784.9233465214302,779.905223136695,798.460970302281,Neutral
2016-12-07,783.4978276809535,779.9726383060863,797.9042771678347,Neutral
2016-12-08,785.4502117873024,780.8255784600785,797.6371116313398,Neutral
2016-12-09,787.3916328582017,781.7754781455259,797.4382792366105,Neutral
2016-12-12,784.7999882388012,781.5792254959326,796.8813548542164,Neutral
2016-12-13,782.6196698258675,781.2773898144842,796.2994072962721,Neutral
2016-12-14,778.2477688839117,780.207078649531,795.4620497870136,Neutral
2016-12-15,773.5384702559411,778.7446054086645,794.4826067624194,Neutral
2016-12-16,770.6798621706274,777.4917000078767,793.5601079885938,Neutral
2016-12-19,766.526829447085,775.7397967344333,792.4557534889503,Neutral
2016-12-20,761.15191963139,773.4363697585757,791.1415768174206,Long
2016-12-21,756.1329164209267,770.950782507796,789.7338684793763,Long
