Date,EMA5,EMA21,EMA63,Position
2017-08-07,1120.785034,1120.785034,1120.785034,Neutral
2017-08-08,1122.2651773333334,1121.1887094545455,1120.9237974375,Long
2017-08-09,1121.4726425555557,1121.070424322314,1120.8914154238282,Long
2017-08-10,1116.3305573703706,1119.7046027475583,1120.4275082855836,Neutral
2017-08-11,1107.2653749135804,1116.9255488614167,1119.449617714159,Long
2017-08-14,1102.1352092757204,1114.6482151467426,1118.5879070980918,Long
2017-08-16,1108.367564517147,1115.2104024061296,1118.6580435950266,Long
2017-08-17,1109.6724110114314,1114.9441934601177,1118.458795482682,Long
2017-08-18,1118.3839023409544,1116.8408017819252,1119.000923280098,Long
2017-08-21,1120.8061058939697,1117.641684619932,1119.208722958845,Neutral
2017-08-22,1124.9875585959799,1119.0697554726653,1119.6506523663813,Neutral
2017-08-23,1124.16939939732,1119.3846032478775,1119.7407282611819,Neutral
2017-08-24,1120.9627865982134,1118.9450539526158,1119.57850428427,Neutral
2017-08-28,1125.1234657321424,1120.2632148660143,1120.0118267753865,Neutral
2017-08-29,1124.984206488095,1120.667076060013,1120.1585099386557,Neutral
2017-08-30,1129.2531429920632,1122.223797872739,1120.7095257530727,Long
2017-08-31,1136.964660328042,1124.9659703388536,1121.699468542039,Long
2017-09-01,1140.9720048853615,1127.1496724898668,1122.5521943376004,Long
2017-09-04,1137.6600069235742,1127.502975990788,1122.8173136083003,Long
2017-09-05,1137.9870422823828,1128.5155339007163,1123.311807339291,Long
2017-09-06,1138.5829955215886,1129.539112818833,1123.826279047438,Long
2017-09-07,1139.7204100143924,1130.6714879262117,1124.3940590459556,Long
2017-09-08,1140.100838009595,1131.5978702965563,1124.9086726382695,Long
2017-09-11,1144.2436983397301,1133.5007383605057,1125.7718209620737,Long
2017-09-12,1156.4218648931535,1137.7986892368233,1127.490770244509,Long
2017-09-13,1164.902743928769,1141.8046722152937,1129.189949361868,Long
2017-09-14,1169.5804669525128,1145.180239559358,1130.7445107255596,Long
2017-09-15,1172.116307301675,1148.0900348721436,1132.1958693903857,Long
2017-09-18,1184.5300935344503,1153.6598195201307,1134.6071755344362,Long
2017-09-19,1192.5697450229668,1158.658840291028,1136.920984048985,Long
2017-09-20,1191.6467163486445,1161.4899147191163,1138.5734738912042,Long
2017-09-21,1190.1968912324298,1163.8360352901057,1140.096091613354,Long
2017-09-22,1183.7191108216198,1164.4658093546416,1141.0544496879368,Long
2017-09-25,1181.9042525477466,1165.7211481405832,1142.2175773851886,Long
2017-09-26,1171.3095813651644,1164.3028836732574,1142.4645355606515,Long
2017-09-27,1160.6405915767764,1162.0301317029612,1142.3657254493812,Long
2017-09-28,1152.5516540511844,1159.697736002692,1142.178477122838,Long
2017-09-29,1138.0577513674564,1155.0952096388107,1141.1438355252494,Neutral
2017-10-03,1132.3159259116376,1151.980397398919,1140.5090992588355,Neutral
2017-10-04,1131.9994356077586,1150.1064026353808,1140.223391625747,Neutral
2017-10-05,1128.686472738506,1147.5567793958007,1139.6558027311924,Neutral
2017-10-06,1132.6661038256707,1146.9266509052732,1139.6861015833426,Neutral
2017-10-09,1139.3974788837804,1147.4660670957028,1140.0977930651131,Neutral
2017-10-10,1140.405122589187,1147.0073709960934,1140.1703748443283,Neutral
2017-10-11,1143.8639537261247,1147.3504841782667,1140.5019761304432,Neutral
2017-10-12,1153.3973394840832,1149.6335411620605,1141.5007928451168,Neutral
2017-10-13,1162.146321989389,1152.3617907836913,1142.692777037457,Neutral
2017-10-16,1178.2770726595927,1157.650589257901,1144.8129581925364,Long
2017-10-17,1189.2985661063951,1162.531585961728,1146.8919767802695,Long
2017-10-18,1190.9145387375968,1165.405667601571,1148.3686801308859,Long
2017-10-19,1190.0236328250646,1167.4816815468826,1149.6147157830458,Long
2017-10-23,1186.9890625500432,1168.703339769893,1150.5930034773255,Long
2017-10-24,1191.2960123666955,1171.540300881721,1152.1341568686591,Long
2017-10-25,1194.9230902444638,1174.3254777106554,1153.6980034040134,Long
2017-10-26,1197.7348188296426,1176.9648230096868,1155.2498869226379,Long
2017-10-27,1195.3420928864284,1178.200442826988,1156.3532229875555,Long
2017-10-30,1185.5746195909524,1177.0949182972618,1156.6559245504443,Long
2017-10-31,1180.086408060635,1176.369015270238,1157.045113939493,Long
2017-11-01,1185.4772423737568,1178.177187609307,1158.2705450976337,Long
2017-11-02,1183.8410702491713,1178.394600190279,1158.9673632508325,Long
2017-11-03,1182.1163774994475,1178.4193630820719,1159.5829766492438,Long
2017-11-06,1181.3152559996317,1178.5369676200653,1160.212040285205,Long
2017-11-07,1178.7525289997545,1178.0906137455138,1160.6312601200423,Long
2017-11-08,1177.3927586665031,1177.7799414050126,1161.0700713037909,Long
2017-11-09,1182.0648584443356,1179.018952004557,1162.0181646380474,Long
2017-11-10,1197.1454119628906,1183.4087308223245,1164.0584257118585,Neutral
2017-11-13,1203.6649343085937,1186.4355715657496,1165.7035992521128,Long
2017-11-14,1209.4059358723957,1189.5676049688632,1167.4281098692343,Long
2017-11-15,1207.2423849149304,1190.7810302444211,1168.5370840295707,Long
2017-11-16,1209.4452812766203,1192.8783069494737,1169.9531462161465,Long
2017-11-17,1211.4368688510804,1194.9275557722488,1171.3739867718919,Long
2017-11-20,1211.6076522340536,1196.4749797020443,1172.6419627790203,Long
2017-11-21,1212.6248281560358,1198.1280888200401,1173.955000817176,Long
2017-11-22,1211.1158114373573,1199.0344242000365,1175.0219626041392,Long
2017-11-23,1209.1747419582382,1199.6033495454876,1175.96792011651,Long
2017-11-24,1207.3894033054921,1199.9865655868068,1176.8382578003689,Long
2017-11-27,1204.4083245369948,1199.8465293516426,1177.5135049628575,Long
2017-11-28,1204.8140456913297,1200.371889228766,1178.392004432768,Long
2017-11-29,1207.7154674608867,1201.5670184806963,1179.489701512994,Long
2017-11-30,1208.4768969739246,1202.3336309824513,1180.4431407157128,Long
2017-12-01,1202.0269563159497,1201.1330349840466,1180.7145136620968,Long
2017-12-04,1203.4641785439667,1201.6062702582242,1181.5152670789064,Long
2017-12-05,1202.0133503626444,1201.3794905983857,1182.0651554201906,Long
2017-12-06,1205.6739799084296,1202.4354677258052,1183.0317205320598,Long
2017-12-07,1213.2968542722865,1204.8088436598227,1184.453935609183,Long
2017-12-08,1229.377793848191,1209.966191781657,1186.862864902646,Long
2017-12-11,1239.274282898794,1214.429925346961,1189.1192522806882,Long
2017-12-12,1242.8924092658626,1217.6752650426918,1191.0257963344168,Long
2017-12-13,1245.431324510575,1220.6601641297198,1192.8846512927162,Long
2017-12-14,1249.2000253403835,1223.9399152997453,1194.8800505335687,Long
2017-12-15,1252.6476325602557,1227.176545454314,1196.9007629231446,Long
2017-12-18,1257.2282230401706,1230.7413507766491,1199.0722829567965,Long
2017-12-19,1265.9716473601138,1235.5338185242265,1201.7093521143966,Long
2017-12-20,1275.905455240076,1241.0101142038422,1204.6488433295717,Long
2017-12-21,1278.0268951600508,1244.7609924580383,1207.0744974442725,Long
2017-12-22,1281.9927837733674,1248.8667714163985,1209.663561930389,Long
2017-12-26,1281.974193182245,1251.8731569239985,1211.9221072450644,Long
2017-12-27,1283.3406241214966,1254.9822777490895,1214.239337831156,Long
2017-12-28,1284.901358414331,1257.9859640446268,1216.5450718676825,Long
2017-12-29,1290.1734559428874,1261.8706628587518,1219.1754649655675,Long
2018-01-01,1286.2869426285918,1263.3836858715924,1221.0297915603935,Long
2018-01-02,1281.8256944190612,1264.249096065084,1222.6508355116312,Long
2018-01-03,1282.5759756127075,1266.0515907864399,1224.5703887143927,Long
2018-01-04,1283.6784174084717,1267.854473533127,1226.486417223318,Long
2018-01-05,1285.7763749389812,1269.8651841210244,1228.4703507475892,Long
2018-01-08,1290.9311576259875,1272.717505837295,1230.7444248804773,Long
2018-01-09,1292.1172317506584,1274.6967671248135,1232.7364547279624,Long
2018-01-10,1294.3342581671059,1276.885089295285,1234.7999502364635,Long
2018-01-11,1299.8854364447373,1279.9853350866229,1237.180820322824,Long
2018-01-12,1302.1122229631583,1282.4017406242026,1239.349100812736,Long
2018-01-15,1301.441310975439,1284.010626658366,1241.2475503810879,Long
2018-01-16,1305.685279983626,1286.7526804166964,1243.5264774941788,Long
2018-01-17,1305.0912933224174,1288.311829469724,1245.4132538224858,Long
2018-01-18,1300.1784158816117,1288.4973596088398,1246.817610296783,Long
2018-01-19,1298.6465725877413,1289.1414983716727,1248.3415251625083,Long
2018-01-22,1295.295509725161,1289.0916697924297,1249.5993957511798,Long
2018-01-23,1297.261418816774,1290.191812265845,1251.2117032902054,Long
2018-01-24,1297.7953728778493,1290.9801276053138,1252.7008150936365,Long
2018-01-25,1300.322647585233,1292.2889520957397,1254.3469520282104,Long
2018-01-29,1309.789195056822,1295.6010737233996,1256.6711813398288,Long
2018-01-30,1317.0352853712147,1298.8671093849086,1259.010440235459,Long
2018-01-31,1312.0715379141434,1299.165012440826,1260.358365321851,Long
2018-02-01,1309.3646272760957,1299.6000845825693,1261.720629093043,Long
2018-02-02,1307.8611675173972,1300.0777358023358,1263.0685546838856,Long
2018-02-05,1301.6446683449317,1299.0899116384871,1263.885527037514,Long
2018-02-06,1287.8642678966212,1295.5638712168063,1263.7735876613417,Long
2018-02-07,1274.6518215977476,1291.26051283346,1263.2877545781746,Long
2018-02-08,1271.2004167318319,1288.8093395758726,1263.3193124663567,Neutral
2018-02-09,1270.0088551545546,1286.883557068975,1263.453888076783,Neutral
2018-02-12,1272.8279247697033,1286.118330426341,1263.9230185743836,Neutral
2018-02-14,1276.2763151798022,1285.850581842128,1264.5245834939342,Neutral
2018-02-15,1281.348760786535,1286.363588220116,1265.3673668847487,Neutral
2018-02-16,1282.8127075243567,1286.3069530182872,1266.0040304508502,Neutral
2018-02-19,1278.6536620162378,1284.855009198443,1266.1393910930112,Neutral
2018-02-20,1274.581404677492,1283.180634725857,1266.1486879338545,Neutral
2018-02-21,1271.4862767849947,1281.554760750779,1266.1220420921716,Neutral
2018-02-22,1268.1073468566633,1279.7179176825261,1265.972899745541,Neutral
2018-02-23,1264.8087472377756,1277.7627931659326,1265.730357503493,Neutral
2018-02-26,1265.8269658251838,1276.8628486053933,1265.797015175259,Neutral
2018-02-27,1270.642252883456,1277.1728466412667,1266.2493842947822,Neutral
2018-02-28,1264.7870145889706,1274.9822731284241,1265.8377328480703,Neutral
2018-03-01,1262.9438657259805,1273.5527544803856,1265.6321026965682,Neutral
2018-03-05,1253.9491901506537,1270.1352167094412,1264.7048444560505,Neutral
2018-03-06,1245.8766084337692,1266.4621465540374,1263.611925723049,Neutral
2018-03-07,1240.7009012891795,1263.1791775036704,1262.5724745129537,Neutral
2018-03-08,1237.0285875261197,1260.1341577306093,1261.544708434424,Neutral
2018-03-09,1236.98935468408,1258.022951482372,1260.774901577098,Neutral
2018-03-12,1244.3961827893868,1258.130850347611,1260.7259933715638,Long
2018-03-13,1248.1771265262578,1257.9134106796462,1260.5701502662025,Long
2018-03-14,1249.5408546841718,1257.4002197996783,1260.3107177891336,Long
2018-03-15,1245.0772851227812,1255.4683949087982,1259.555699920723,Long
2018-03-16,1241.8479507485208,1253.6430210079984,1258.8004993607005,Long
2018-03-19,1242.9440848323472,1252.8696875527257,1258.3734947869286,Long
2018-03-20,1244.895177554898,1252.4994762297506,1258.074240668587,Long
2018-03-21,1246.9407383699322,1252.3660565725006,1257.8541662726936,Long
2018-03-22,1247.1158469132881,1251.920602702273,1257.529538076672,Long
2018-03-23,1243.9994319421921,1250.6338753657028,1256.9119463242762,Long
2018-03-26,1249.1013059614615,1251.4221643324572,1256.9867309391425,Long
2018-03-27,1255.1968096409744,1252.8735873022338,1257.3117648785444,Long
2018-03-28,1259.4348767606496,1254.2406258202125,1257.64299131984,Long
2018-04-02,1267.9499111737664,1257.0351125638294,1258.497272216095,Long
2018-04-03,1272.7073707825111,1259.3248559671176,1259.238679021842,Neutral
2018-04-04,1278.7475815216742,1262.1887784246524,1260.2258453961595,Neutral
2018-04-05,1290.6194813477828,1266.931915022411,1261.9176402587793,Neutral
2018-04-06,1296.1886222318553,1270.6041867476463,1263.3366797506926,Neutral
2018-04-09,1305.226496821237,1275.394919406951,1265.2106036959835,Long
2018-04-10,1311.2199675474915,1279.7414639154101,1267.0229882367341,Long
2018-04-11,1320.810260031661,1285.2186803776456,1269.3032337605862,Long
2018-04-12,1328.3448200211074,1290.5091585251323,1271.619193330568,Long
2018-04-13,1332.6705536807383,1295.1285096592112,1273.7974066952377,Long
