Date,EMA5,EMA21,EMA63,Position
2018-08-06,1657.794067,1657.794067,1657.794067,Neutral
2018-08-07,1657.7141923333336,1657.772283,1657.78657875,Long
2018-08-08,1666.3157278888893,1660.1128753636365,1658.5907106328125,Long
2018-08-09,1671.1079869259265,1661.983750785124,1659.281391706787,Neutral
2018-08-10,1673.8237816172843,1663.5538980773852,1659.9055785597,Long
2018-08-13,1668.0174087448563,1662.9039676158047,1659.7961749484593,Long
2018-08-14,1669.064706496571,1663.6544525598224,1660.15127266882,Long
2018-08-16,1667.5753643310475,1663.7401095998387,1660.2901916479193,Long
2018-08-17,1681.7043768873652,1667.9421361816715,1661.8424482214218,Long
2018-08-20,1688.6485802582436,1671.0871226197014,1663.1141525582523,Long
2018-08-21,1685.4536271721624,1671.8122679270014,1663.612576572057,Long
2018-08-23,1689.8067721147752,1674.2396128427283,1664.70321674168,Long
2018-08-24,1695.3116517431836,1677.1561399479347,1666.0037853122526,Long
2018-08-27,1702.6064088287892,1680.796120225395,1667.6035396149946,Long
2018-08-28,1700.7309735525264,1682.2673913867227,1668.521557220776,Long
2018-08-29,1694.5784617016843,1682.267941078839,1668.9513034951267,Long
2018-08-30,1695.9059454677895,1683.749120344399,1669.8766037921541,Long
2018-08-31,1699.106323645193,1685.7271166767264,1670.9900561736495,Long
2018-09-03,1675.3712974301288,1680.4702192515695,1669.643530824473,Long
2018-09-04,1644.2503392867527,1671.5191468650632,1666.904933704958,Long
2018-09-05,1610.8881248578355,1659.941378604603,1663.0692700266782,Neutral
2018-09-06,1587.6566179052238,1649.1461263678207,1659.2606554633444,Neutral
2018-09-07,1581.7978526034826,1641.958325970746,1656.473770042615,Long
2018-09-10,1568.8060310689887,1632.9459679734055,1652.9221643537833,Long
2018-09-11,1553.869263379326,1623.0414007030959,1648.8932132177276,Long
2018-09-12,1555.4724939195507,1617.1902692755416,1646.0740176484237,Long
2018-09-14,1557.3237849463671,1612.0844599777652,1643.4162785656604,Long
2018-09-17,1550.9410356309115,1605.3654669797866,1640.1275053917336,Long
2018-09-18,1565.6881887539412,1604.4397422543514,1638.722973816992,Long
2018-09-19,1569.8188591692942,1602.0434202312285,1636.8278871352109,Long
2018-09-21,1564.3331374461961,1597.6178087556623,1634.2195685997356,Long
2018-09-24,1550.823491297464,1590.9074805960565,1630.7690882997438,Long
2018-09-25,1554.7194451983096,1588.3260144509604,1628.636034071627,Long
2018-09-26,1550.897476798873,1584.2285167736004,1625.9678311318885,Long
2018-09-27,1551.3355818659154,1581.3179054305458,1623.6629549090171,Long
2018-09-28,1547.8911202439438,1577.6528410277688,1621.0798062243605,Long
2018-10-01,1556.4212691626292,1577.2736342979715,1619.5923612485992,Long
2018-10-03,1554.6189401084196,1574.8864204527013,1617.4492962720806,Long
2018-10-04,1539.0778694056132,1568.8054484115464,1614.028872263578,Long
2018-10-05,1523.7989019370757,1561.935950101406,1610.254250224091,Long
2018-10-08,1513.8684166247172,1555.7606315467326,1606.6215375920883,Long
2018-10-09,1492.2698624164782,1546.0617335879385,1601.6981381048356,Long
2018-10-10,1482.7251962776522,1538.5684727163077,1597.3836920390595,Long
